,storeid,year,month,pred
0,11002010,2018,9,396261.8935034741
1,11002012,2018,9,193052.53509833664
2,11002019,2018,9,717700.2450451013
3,11002021,2018,9,1038126.7275938056
4,11002023,2018,9,359464.39786305465
5,11002025,2018,9,209473.9266488012
6,11002029,2018,9,419305.442170199
7,11002030,2018,9,254079.371107921
8,11002031,2018,9,159445.75289302133
9,11002035,2018,9,948369.3060058095
10,11002036,2018,9,621411.9057030492
11,11002037,2018,9,235053.55005614832
12,11002040,2018,9,463544.04983915575
13,11002053,2018,9,843556.1667825207
14,11002054,2018,9,349378.7317759264
15,11002056,2018,9,858472.3996595386
16,11002057,2018,9,668195.3890717141
17,11002065,2018,9,527758.7978630941
18,11002076,2018,9,479029.23664130084
19,11002077,2018,9,300375.2865070645
20,11002078,2018,9,403631.02109790966
21,11002086,2018,9,566805.5900962073
22,11002088,2018,9,612832.6462095678
23,11002089,2018,9,241055.55312891863
24,11002091,2018,9,473685.5354307834
25,11002093,2018,9,213845.15722198226
26,11002094,2018,9,438850.2853350211
27,11002095,2018,9,763004.9282956738
28,11002096,2018,9,1036404.0942814983
29,11002101,2018,9,541940.2102192063
30,11002102,2018,9,577365.9946177453
31,11002105,2018,9,226069.64592576958
32,11002106,2018,9,376129.09509044886
33,11002110,2018,9,445923.4611763824
34,11002111,2018,9,547478.6454214975
35,11002112,2018,9,326712.7784760818
36,11002113,2018,9,859719.1393317729
37,11002115,2018,9,559736.4654156752
38,11002117,2018,9,531267.8307576012
39,11002118,2018,9,420384.9408727251
40,11002119,2018,9,375770.9393496234
41,11002122,2018,9,542303.3780606203
42,11002124,2018,9,763161.9664078411
43,11002125,2018,9,849823.8212988004
44,11002126,2018,9,796153.421105355
45,11002128,2018,9,277079.54690000974
46,11002130,2018,9,692109.6314587314
47,11002131,2018,9,573142.9746429771
48,11002132,2018,9,655596.757565869
49,11002133,2018,9,272232.2291534357
50,11002134,2018,9,432455.8252485357
51,11002135,2018,9,340272.0472618975
52,11002136,2018,9,1285348.5858649537
