,storeid,year,month,sal_amt,pred
0,11002010,2017,8,256204.09,278411.4455464687
1,11002010,2017,9,317951.15,270763.8831147738
2,11002010,2018,8,419427.11,245615.0820304919
3,11002012,2017,8,131821.33,104602.38675194234
4,11002012,2017,9,160388.45,157159.98748766258
5,11002012,2018,8,170807.33,147711.37464246154
6,11002019,2017,9,724653.64,808131.5722091924
7,11002019,2018,8,748615.59,717623.1035826355
8,11002021,2017,8,1007346.03,952066.8609864209
9,11002021,2017,9,1055426.94,991619.7615986187
10,11002021,2018,8,1064613.7,1040802.886197621
11,11002023,2017,8,335339.84,342991.4044600371
12,11002023,2017,9,352187.69,338175.2709927298
13,11002023,2018,8,341722.61,312657.9143137876
14,11002025,2017,8,224669.36,232136.64029972628
15,11002025,2017,9,256872.37,233684.4693891108
16,11002025,2018,8,186935.69,207023.26509888284
17,11002029,2017,8,385059.0,436590.728128843
18,11002029,2017,9,416694.04,399328.27653145045
19,11002029,2018,8,403067.13,434667.33868219145
20,11002030,2017,8,232985.72,247850.3459787201
21,11002030,2017,9,264846.81,254405.56898347847
22,11002030,2018,8,216157.36,246803.5611804463
23,11002031,2017,8,135702.56,119551.38341512345
24,11002031,2017,9,147102.75,152883.45368973166
25,11002031,2018,8,134553.47,162691.7987628337
26,11002035,2017,8,1059629.04,1123969.2496889103
27,11002035,2017,9,1037123.16,1036475.5352426544
28,11002035,2018,8,966788.53,955089.4616974127
29,11002036,2017,8,703618.08,693493.4009272307
30,11002036,2017,9,640210.38,670614.5833513476
31,11002036,2018,8,630780.35,610844.0731409807
32,11002037,2017,8,225092.82,205195.13404389843
33,11002037,2017,9,236416.75,213655.15470231883
34,11002037,2018,8,230812.38,252639.09965133853
35,11002040,2017,8,419393.82,460919.00371457636
36,11002040,2017,9,393369.02,404696.0015586242
37,11002040,2018,8,475819.91,413075.62025713734
38,11002053,2017,8,857038.82,835850.565088639
39,11002053,2017,9,886163.74,863396.6822809577
40,11002053,2018,8,823328.68,860199.7660154384
41,11002054,2017,8,335933.4,348762.7202517409
42,11002054,2017,9,339886.83,333567.19066590816
43,11002054,2018,8,330355.5,329795.52959395386
44,11002056,2017,8,819836.88,935780.5392904729
45,11002056,2017,9,858557.56,774096.9612189848
46,11002056,2018,8,871901.6,905535.8359126188
47,11002057,2017,8,662306.83,710130.0247688983
48,11002057,2017,9,690951.48,709405.2042265311
49,11002057,2018,8,645606.56,677613.2092560213
50,11002065,2017,8,448920.07,523087.1975192055
51,11002065,2017,9,481783.73,457250.4985488914
52,11002065,2018,8,501197.18,502782.92323685996
53,11002067,2017,8,1432241.52,1368550.4297120776
54,11002067,2017,9,1586177.7,1358369.7216587346
55,11002068,2017,8,647249.21,751104.7495945059
56,11002068,2017,9,630988.5,645482.2130001374
57,11002076,2017,8,397728.46,413513.2772033848
58,11002076,2017,9,390676.78,393106.70721858926
59,11002076,2018,8,472406.68,478872.2783038877
60,11002077,2017,9,349280.43,351695.2778583877
61,11002077,2018,8,298247.2,340606.0885146428
62,11002078,2017,8,351914.53,415138.41671318375
63,11002078,2017,9,381720.11,378575.80034242757
64,11002078,2018,8,380307.16,394146.01777537353
65,11002081,2017,8,320953.47,281402.84432467446
66,11002081,2017,9,319723.13,312134.49150126986
67,11002086,2017,8,399928.87,411621.9301278554
68,11002086,2017,9,510224.88,414080.5746943299
69,11002086,2018,8,555826.69,545158.9463223163
70,11002087,2017,8,630253.07,705070.4000369664
71,11002087,2017,9,650233.49,590401.3531345818
72,11002088,2017,8,745274.6,719557.2623309344
73,11002088,2017,9,676877.89,675056.0835720189
74,11002088,2018,8,611562.95,676253.9461436402
75,11002089,2017,8,196260.79,223197.08978699334
76,11002089,2017,9,223956.53,206463.14754675888
77,11002089,2018,8,217060.13,220870.05049984716
78,11002091,2017,9,539043.88,561136.3575492632
79,11002091,2018,8,445340.6,511692.8165424373
80,11002092,2017,8,391527.69,451095.6463498976
81,11002092,2017,9,467206.62,424486.20495331846
82,11002093,2017,8,148418.58,145715.46975664422
83,11002093,2017,9,166262.94,177472.93858928978
84,11002093,2018,8,190254.54,182371.9039739538
85,11002094,2017,8,348014.52,419143.2049567867
86,11002094,2017,9,343351.99,356535.6258386392
87,11002094,2018,8,443892.17,463255.50316098146
88,11002095,2017,8,794825.24,740632.978195712
89,11002095,2017,9,730146.45,748842.5680135321
90,11002095,2018,8,789404.74,797977.0306014791
91,11002096,2017,8,976842.18,1000986.4836675879
92,11002096,2017,9,926710.5,959194.7453898136
93,11002096,2018,8,1089492.17,1034530.2549782488
94,11002098,2018,8,787574.19,808247.6258264054
95,11002099,2017,8,610776.93,659900.6601610724
96,11002099,2017,9,626103.68,580953.4588602595
97,11002101,2017,8,486984.17,537524.6932791583
98,11002101,2017,9,467748.55,461677.15544168465
99,11002101,2018,8,549460.85,526093.2650188692
100,11002102,2017,8,493119.97,531524.3096242808
101,11002102,2017,9,506739.89,490523.1583776418
102,11002102,2018,8,583530.05,562200.969193032
103,11002105,2017,8,156874.93,160765.07777460478
104,11002105,2017,9,165160.9,172024.7978549227
105,11002105,2018,8,206122.73,216264.59206143767
106,11002106,2017,8,308976.61,347245.308235066
107,11002106,2017,9,360023.58,307999.8972344417
108,11002106,2018,8,340330.76,329816.2942018602
109,11002108,2017,8,513797.86,612178.9953921903
110,11002108,2017,9,578785.41,497360.05387111567
111,11002110,2017,8,372299.43,441263.2741482165
112,11002110,2017,9,434340.09,375652.00725807436
113,11002110,2018,8,416535.11,415772.7526126858
114,11002111,2017,8,495644.53,534665.6378808767
115,11002111,2017,9,503129.0,478483.0077576637
116,11002111,2018,8,532056.3,588599.5838221349
117,11002112,2017,8,287645.62,319699.1351281237
118,11002112,2017,9,283622.12,309339.91783548146
119,11002112,2018,8,294817.53,302384.8429525066
120,11002113,2017,8,831822.32,823638.2537504211
121,11002113,2017,9,777346.88,740044.0469643269
122,11002113,2018,8,911036.31,905333.7401402183
123,11002115,2017,8,582317.68,601642.8993062675
124,11002115,2017,9,535030.09,549233.3802578878
125,11002115,2018,8,554945.42,513272.3824052904
126,11002117,2018,8,560850.37,520731.0782290045
127,11002118,2017,8,349680.01,373213.4539542794
128,11002118,2017,9,427908.82,378172.1410932075
129,11002118,2018,8,360560.32,386567.299824629
130,11002119,2017,8,462663.99,477945.6956540905
131,11002119,2017,9,430813.16,432471.44334115274
132,11002119,2018,8,343578.74,359361.1371422764
133,11002120,2017,8,263888.5,245723.80194295011
134,11002120,2017,9,240956.87,268605.22533594444
135,11002122,2017,8,394711.69,411270.4061939437
136,11002122,2017,9,492155.55,410986.8183446415
137,11002122,2018,8,553874.42,437102.12637330405
138,11002124,2017,8,724180.45,738273.2611679211
139,11002124,2017,9,801313.25,647693.2005995438
140,11002124,2018,8,736821.62,812301.0325287841
141,11002125,2017,8,700432.94,756647.0772919003
142,11002125,2017,9,697216.86,646688.0659786817
143,11002125,2018,8,914928.88,866908.5100846924
144,11002126,2017,8,680160.47,725784.5619995352
145,11002126,2017,9,747278.1,645091.1064011622
146,11002126,2018,8,779950.05,775483.7197715081
147,11002127,2017,8,333443.79,364176.52193148993
148,11002127,2017,9,334459.73,325298.4640439246
149,11002128,2017,8,216699.34,286080.4519299064
150,11002128,2017,9,275787.3,237140.97100676596
151,11002128,2018,8,232780.54,208105.5199067369
152,11002130,2017,8,651387.68,642956.0941820126
153,11002130,2017,9,659170.26,608808.2910619844
154,11002130,2018,8,703098.73,753967.1806459147
155,11002131,2017,8,479616.26,536177.4052026849
156,11002131,2017,9,516563.3,474672.6873280201
157,11002131,2018,8,550582.83,589531.507496139
158,11002132,2018,8,720596.76,671204.8010313436
159,11002133,2017,8,258936.07,283700.68033230864
160,11002133,2017,9,265741.63,270381.85976997577
161,11002133,2018,8,243770.77,254250.73563642427
162,11002134,2017,8,332262.5,378041.75110947527
163,11002134,2017,9,370356.83,354148.75821590424
164,11002134,2018,8,398173.55,418190.16408391297
165,11002135,2017,9,282003.29,243306.73464636877
166,11002135,2018,8,313176.53,346037.84926764853
167,11002136,2018,8,1453228.07,1380930.4037631229
168,11002138,2017,9,205407.22,250788.603076946
169,11002138,2018,8,187777.14,167660.93028545007
170,11002139,2018,8,357370.84,366332.01202345453
171,11002140,2018,8,372275.98,370494.8159152735
172,11002141,2018,8,363401.96,375979.2000264488
173,11002142,2018,8,367929.13,377107.7144186627
174,11002143,2018,8,389135.26,398425.95464066975
175,11002144,2018,8,181471.15,213969.24977632612
176,11002145,2018,8,208623.77,180106.77840806916
177,11002146,2018,8,433208.8,500604.98077069223
178,11002150,2018,8,482419.34,415734.74399339035
179,11002151,2018,8,351076.98,382565.3285989985
180,12002001,2017,8,239403.49,238733.42631279677
181,12002001,2017,9,253962.91,230805.1482407432
182,12002001,2018,8,350272.26,320161.61284664646
183,12002004,2017,8,232428.53,198573.56353052706
184,12002004,2017,9,263692.55,245868.9111527875
185,12002004,2018,8,229987.27,211308.6979714986
186,12002008,2017,9,239166.26,258855.7161066886
187,12002008,2018,8,246662.04,324546.65732898004
188,12002010,2017,8,239258.14,299812.42846713774
189,12002010,2017,9,267467.14,265312.7110063527
190,12002014,2017,8,820198.06,860041.8657057732
191,12002014,2017,9,772271.98,821587.6455991622
192,12002014,2018,8,770078.28,725658.5653407425
193,12002015,2017,8,331436.84,317214.31471309625
194,12002015,2018,8,320015.74,339389.7648185361
195,12002016,2017,8,791129.53,787939.2111645713
196,12002016,2017,9,829860.44,748276.2960596792
197,12002016,2018,8,747580.66,718324.2385057472
198,12002021,2018,8,354363.87,372865.3680274319
199,12002023,2017,8,227447.12,201629.38931610994
200,12002023,2017,9,296306.54,253208.09047058783
201,12002023,2018,8,207877.17,205177.75488216616
202,12002024,2017,8,461636.99,412154.31228735857
203,12002024,2017,9,555074.12,451854.99188266136
204,12002025,2017,8,409348.47,403829.4264641665
205,12002025,2017,9,434585.78,394865.0229939353
206,12002025,2018,8,125178.78,358487.03133171983
207,12002026,2017,8,263092.83,280923.60796648636
208,12002026,2017,9,240609.81,272308.5199733041
209,12002026,2018,8,330668.88,305859.89655534737
210,12002027,2018,8,486808.68,458912.1521259416
211,12002028,2017,8,490135.97,483252.0941118412
212,12002028,2017,9,524728.03,490286.0000134669
213,12002028,2018,8,490253.36,498720.67282216065
214,12002029,2017,8,864951.81,782845.1378074754
215,12002029,2017,9,785308.36,797352.7964843437
216,12002029,2018,8,758520.09,747784.1030212063
217,12002031,2018,8,301316.45,275048.9285176359
218,12002032,2018,8,642583.8,640604.89069332
219,12012006,2017,8,425733.23,423477.3918433711
220,12012006,2017,9,426000.57,363083.65448434465
221,12012006,2018,8,483260.57,503294.553299021
222,12012014,2017,8,628958.51,620643.2291180976
223,12012014,2017,9,584611.55,565664.8289997447
224,12012014,2018,8,800841.65,791819.2785333674
225,12012015,2017,8,290677.73,330891.42327776924
226,12012015,2017,9,336064.75,291445.6162898075
227,12012017,2017,8,347514.33,369097.5533775296
228,12012017,2017,9,355136.05,305809.1262466386
229,12012017,2018,8,446062.89,469961.57410945185
230,12012019,2017,8,520126.05,511480.1577011999
231,12012019,2017,9,523460.39,459896.4323427025
232,12012019,2018,8,466863.78,500583.14883579314
233,12012022,2017,8,705267.33,719213.1670729164
234,12012022,2017,9,653512.29,607464.5203277636
235,12012022,2018,8,867641.88,796345.9975663554
236,12012023,2017,8,226357.83,217462.1890009381
237,12012023,2017,9,231564.6,193563.2369289901
238,12012023,2018,8,296000.45,265912.90602344833
239,12022002,2017,8,391283.7,410374.6564380042
240,12022002,2017,9,426327.29,408453.5551361479
241,12022002,2018,8,440804.06,442851.5430373978
242,12022007,2017,8,242520.23,200060.91379192658
243,12022007,2017,9,221514.96,235262.47326953895
244,12022007,2018,8,249754.67,258104.31395534799
245,12022008,2017,8,485610.9,523248.27858382463
246,12022008,2017,9,481224.01,477366.08851510845
247,12022008,2018,8,462678.77,481968.4650126081
248,12022010,2017,8,311866.65,293962.96981888637
249,12022010,2017,9,301559.16,304511.03556417115
250,12022010,2018,8,387665.93,409644.06119244173
251,12022011,2017,8,391824.62,420957.95318013616
252,12022011,2017,9,395437.15,377213.35891738907
253,12022011,2018,8,396070.62,426065.523337096
254,12022012,2017,8,184963.34,166351.04997257516
255,12022012,2017,9,181190.23,177788.11816185154
256,12022012,2018,8,228091.31,246645.2786406055
257,12072002,2017,8,311440.36,298553.15205678344
