,storeid,year,month,sal_amt,pred
0,11002157,2018,8,116762.74,150017.6834213956
1,14002036,2018,8,179157.6,153020.18869563157
2,73002038,2018,8,195539.87,187722.1251191412
3,11002169,2018,8,235545.48,237726.45398851158
4,62002009,2018,8,245026.81,269236.56005967036
5,22052019,2018,8,264598.66,246738.6177852013
6,50002083,2018,8,277386.66,290396.44602672756
7,20002120,2018,8,280328.21,287070.1981075512
8,60002052,2018,8,287883.54,292971.35800472286
9,41002017,2018,8,326629.42,302278.5031906676
10,40012079,2018,8,380904.95,396175.6183076971
11,40022020,2018,8,381175.01,362940.12851045874
12,21002046,2018,8,381329.05,409856.79232445906
13,20002124,2018,8,387443.94,378193.27390188794
14,64002015,2018,8,389299.27,409320.213350756
15,51002042,2018,8,421717.72,396204.25693356874
16,52002026,2018,8,440330.83,470483.3174615797
17,20002125,2018,8,456240.04,478325.7192446691
18,11002165,2018,8,476190.22,476741.37146554084
19,64002014,2018,8,484193.12,477144.34466391
20,20002121,2018,8,516982.74,498468.3906847446
21,40012080,2018,8,629028.4,564619.3855982765
22,40002055,2018,8,745699.86,768093.137606315
23,51002041,2018,8,788106.67,778276.7323427872
24,11002167,2018,8,1098291.18,1103771.173204131
