,code,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,0.662,6.08,5.82,6.12,5.82,6.04,2169377.0,0.9415700000000001,13058554.0,46.412,2.067,350208.0,140083.2
1,603998,2.5,8.61,8.39,8.65,8.18,8.4,1999049.0,0.47015,16980138.0,61.5,3.681,371036.30067,366094.37592
2,603997,0.0,10.87,0.0,0.0,0.0,10.87,0.0,0.0,0.0,23.63,3.8369999999999997,693200.7704,684810.0
3,603996,-10.007,13.04,13.04,13.04,13.04,14.49,395500.0,0.38296,5157320.0,26.612,2.592,391395.6,134670.6
4,603993,1.951,6.27,6.06,6.29,6.03,6.15,67997122.0,0.52492,418076619.0,44.786,3.48,13542723.845541,8121989.148273
5,603991,2.564,23.2,22.58,23.2,22.17,22.62,233700.0,0.5689000000000001,5308958.0,42.963,3.6950000000000003,172921.19536,95303.08976
6,603990,0.179,33.56,33.75,34.33,32.9,33.5,557451.0,0.9248900000000001,18647847.0,52.438,6.332,271576.2456,202272.832
7,603989,2.096,30.2,29.58,30.48,29.48,29.58,565606.0,0.18854,16982204.0,31.134,4.415,906000.0,906000.0
8,603988,-2.627,12.23,12.54,12.54,11.63,12.56,2905687.0,1.72958,35079296.0,43.679,2.179,205464.0,205464.0
9,603987,2.814,10.23,9.85,10.38,9.62,9.95,1173100.0,0.61719,11731144.0,26.921,2.571,322690.005,194443.09335
10,603986,0.188,101.38,99.5,103.0,96.5,101.19,4501637.0,2.18226,447091384.0,50.945,12.011,2876674.004664,2091302.02162
11,603985,1.872,19.59,19.23,19.7,19.05,19.23,428569.0,0.64388,8296114.0,15.48,1.5190000000000001,203736.0,130391.04
12,603980,2.639,15.56,15.22,15.74,15.08,15.16,3475200.0,1.41479,53361958.0,17.622,1.901,778000.0,382205.084928
13,603979,2.309,8.86,8.65,8.9,8.52,8.66,2146192.0,0.8826200000000001,18709635.0,25.314,1.335,518310.0,215440.04352
14,603978,-0.936,32.81,32.8,33.49,30.23,33.12,2120444.0,5.30111,68011904.0,20.898,1.941,524960.0,131240.0
15,603977,2.185,7.95,7.97,7.97,7.6,7.78,456020.0,0.25917,3565819.0,25.645,1.834,246062.04,139881.84
16,603976,2.924,15.84,15.01,15.98,15.01,15.39,932501.0,2.46693,14567412.0,17.407,1.755,239500.8,59875.2
17,603970,-2.087,19.24,18.77,19.47,18.37,19.65,4879251.0,12.1981,92442161.0,21.891,3.18,307840.15392,76960.15392
18,603969,0.488,6.18,6.1,6.25,5.7,6.15,3416665.0,0.58908,20855809.0,20.6,1.513,358440.0,358440.0
19,603968,2.554,18.07,17.62,18.28,17.62,17.62,703909.0,0.34424000000000005,12618114.0,22.873,2.676,369495.36,369495.36
20,603966,5.758,12.49,11.82,12.7,11.82,11.81,1124600.0,1.57221,13699085.0,30.463,2.426,202765.158,89341.06992
21,603963,10.017,25.92,23.59,25.92,23.59,23.56,1806382.0,7.22553,44757760.0,47.127,5.49,259200.0,64800.0
22,603960,5.065,27.59,26.03,27.78,26.03,26.26,1032209.0,1.9923600000000001,28016054.0,54.098,6.313,373016.8,142939.452852
23,603959,-0.481,26.9,26.26,28.27,26.0,27.03,904200.0,0.8498100000000001,24340930.0,56.042,6.108,602560.0,286216.0
24,603958,1.563,9.75,9.42,9.85,9.35,9.6,1601360.0,2.42634,15486959.0,116.627,1.8130000000000002,214408.98375,64349.0211
25,603955,3.131,20.42,19.97,20.53,19.51,19.8,491318.0,0.68889,9879220.0,21.26,1.699,230950.2,145635.874946
26,603939,0.0,59.72,0.0,0.0,0.0,59.72,0.0,0.0,0.0,69.12,6.628,2166012.497576,2166012.497576
27,603938,2.934,23.86,23.13,24.2,22.53,23.18,1415900.0,3.77004,33088354.0,21.89,3.508,358297.5076,89610.0476
28,603937,3.887,18.71,17.9,18.88,17.55,18.01,4387000.0,8.401,80301836.0,32.259,3.156,390814.48,97703.62
29,603936,-2.482,20.82,20.2,21.1,19.45,21.35,3686007.0,6.57042,74594020.0,53.385,3.463,348422.7,116800.2
30,603933,2.393,21.39,20.69,21.48,20.48,20.89,935924.0,2.60427,19609036.0,13.597,2.193,307455.582,76871.382
31,603929,2.135,19.61,19.37,19.8,18.89,19.2,1923800.0,1.99234,37175918.0,32.683,4.098,418398.96,189354.16
32,603928,3.306,16.25,15.65,16.35,15.63,15.73,4172402.0,6.64697,67028156.0,24.254,2.797,327600.0,102003.6875
33,603926,1.415,19.35,19.08,19.45,18.81,19.08,665391.0,1.02222,12771580.0,18.971,2.207,239494.95,125954.03007
34,603922,2.407,22.97,22.1,23.1,21.7,22.43,1268430.0,3.9638400000000003,28355664.0,26.402,2.58,294016.0,73504.0
35,603920,1.6,12.7,12.4,12.77,12.31,12.5,1852230.0,1.44468,23253165.0,25.918,2.157,510286.0,162826.72286
36,603919,3.89,16.56,15.94,16.65,15.85,15.94,3275729.0,2.82784,53446628.0,24.0,3.093,602784.0,191828.4732
37,603918,1.877,15.2,14.92,15.28,14.73,14.92,1170000.0,0.6627900000000001,17638475.0,76.0,5.248,272718.4,268319.52
38,603917,3.613,15.2,14.65,15.35,14.42,14.67,2185392.0,5.57498,32631792.0,16.049,2.021,238336.0,59584.0
39,603916,3.141,13.79,13.08,13.91,13.08,13.37,4291354.0,5.64652,57984459.0,24.193,2.202,419216.0,104804.0
40,603912,3.679,15.5,14.65,15.68,14.65,14.95,3261040.0,6.29544,49269407.0,22.143,3.6029999999999998,326151.0,80290.0
41,603909,3.094,29.66,28.04,29.99,28.04,28.77,175009.0,0.7000400000000001,5085923.0,47.662,4.777,304015.0,74150.0
42,603908,2.301,26.67,26.1,26.88,25.78,26.07,716600.0,3.10899,18771590.0,33.338,3.824,177862.23,61472.496435
43,603906,3.235,10.53,10.21,10.58,10.2,10.2,1396561.0,1.49644,14444919.0,23.932,1.788,267529.392,98271.68832
44,603903,2.989,27.22,26.45,27.5,26.33,26.43,727457.0,0.98572,19462309.0,41.877,3.867,281280.592,200882.718072
45,603901,10.063,8.75,8.15,8.75,7.97,7.95,5102500.0,2.7731,43598178.0,54.688,3.653,350000.0,161000.0
46,603900,1.728,21.78,21.5,21.95,21.15,21.41,1518680.0,1.7842,32772330.0,23.793,3.092,741552.02352,185388.00588
47,603899,4.035,31.97,30.28,32.08,30.28,30.73,1727940.0,0.18782000000000001,54208489.0,46.387,9.68,2941240.0,2941240.0
48,603898,2.364,28.15,27.71,28.17,27.11,27.5,493125.0,0.55405,13648621.0,24.478,4.291,901794.50009,250546.26
49,603897,4.638,32.26,30.52,32.66,30.51,30.83,3923949.0,8.79809,123658760.0,24.256,5.147,575518.4,143879.6
50,603896,2.53,47.01,45.28,47.23,44.51,45.85,2266514.0,3.71216,103951439.0,66.211,7.255,657199.8,287026.6065
51,603895,2.293,32.12,30.08,32.49,30.08,31.4,2642195.0,9.77866,82795496.0,29.991,3.952,347152.96,86788.24
52,603890,0.639,17.33,16.93,17.5,16.5,17.22,2905382.0,6.05919,49588534.0,11.109,1.772,332389.4,83097.35
53,603889,0.845,10.74,10.65,10.75,10.6,10.65,339000.0,0.10493000000000001,3623748.0,18.203,1.869,422781.247032,346964.292
54,603888,1.81,17.44,16.88,17.52,16.88,17.13,1294350.0,0.7334700000000001,22253124.0,31.709,3.307,905187.20384,307763.64512
55,603887,1.673,15.8,15.6,15.91,15.18,15.54,847487.0,1.04746,13248004.0,23.582,2.092,227836.0,127835.4616
56,603886,4.997,18.91,18.11,19.25,17.8,18.01,2052077.0,1.6930100000000001,37920854.0,22.247,3.787,453840.0,229206.219
57,603885,-2.157,16.78,17.03,17.15,15.58,17.15,12184950.0,0.6780700000000001,199503927.0,22.676,3.32,3015388.614406,3015388.614406
58,603883,3.945,74.57,69.0,74.58,65.77,71.74,1261678.0,0.47254,90205560.0,54.036,7.021,2124836.848562,1991019.0
59,603882,3.286,26.4,25.73,26.56,25.56,25.56,1114000.0,1.62202,28909556.0,57.391,7.064,1208815.28328,181315.2
60,603881,2.69,37.03,35.9,37.24,35.81,36.06,2179260.0,1.70462,79730169.0,66.125,8.395,779801.839124,473408.398274
61,603880,0.0,24.65,0.0,0.0,0.0,24.65,0.0,0.0,0.0,43.246,4.531,246500.0,61625.0
62,603879,3.866,12.09,11.64,12.25,11.51,11.64,1656460.0,2.04501,19531236.0,33.583,3.284,174096.0,97929.0
63,603878,1.55,14.41,13.87,14.53,13.87,14.19,1952435.0,1.9329100000000001,27878937.0,22.873,1.416,291082.0,145555.56851
64,603877,-1.269,31.91,32.34,32.6,30.71,32.32,1719186.0,0.8649300000000001,54124589.0,32.897,4.441,1534655.2884,634262.306
65,603876,3.244,29.6,28.1,29.88,28.06,28.67,7367894.0,11.33522,213650652.0,39.467,4.492,1272800.0,192400.0
66,603871,2.526,45.06,43.0,45.21,43.0,43.95,1173514.0,4.19112,51983349.0,13.11,2.568,504672.0,126168.0
67,603869,1.219,16.61,16.16,16.88,16.16,16.41,589784.0,0.21998,9696012.0,21.571,1.5819999999999999,579367.211148,445323.089332
68,603868,2.328,50.11,48.96,50.83,48.32,48.97,314961.0,0.7223900000000001,15498301.0,26.099,8.445,2182791.6,218479.6
69,603866,5.134,55.09,52.4,55.4,52.4,52.4,1091053.0,1.8437000000000001,58769096.0,48.325,7.944,2592678.634,326007.96606
70,603861,1.04,11.66,11.6,11.69,11.46,11.54,794701.0,0.6563100000000001,9217424.0,30.781,2.32,516235.595568,141185.473792
71,603860,3.263,31.01,30.28,31.23,29.93,30.03,508000.0,3.04556,15505775.0,37.817,3.684,206774.68,51724.68
72,603859,2.041,17.0,16.67,17.08,15.88,16.66,1159139.0,2.32339,19258724.0,50.61,2.883,193052.0,84813.0
73,603858,2.158,44.97,44.03,45.0,44.02,44.02,3681609.0,1.12301,163742670.0,18.719,2.297,3066054.6,1474274.498664
74,603856,3.535,18.16,17.54,18.4,17.47,17.54,1352200.0,2.74113,24221875.0,23.282,2.44,358191.472,89583.28
75,603855,3.057,9.44,9.18,9.47,9.18,9.16,1001700.0,0.49702,9299961.0,21.953,2.168,312530.08,190253.76
76,603848,5.492,23.82,22.67,23.94,22.18,22.58,2206578.0,5.3819,50747388.0,41.789,8.41,955182.0,97662.0
77,603843,0.962,11.54,11.49,11.65,11.3,11.43,7281573.0,3.77604,83313957.0,96.167,3.526,461603.462,222533.128282
78,603839,2.85,17.32,16.9,17.48,16.71,16.84,911500.0,0.8725200000000001,15672632.0,17.32,1.875,700868.173868,180938.576
79,603838,0.0,10.03,0.0,0.0,0.0,10.03,0.0,0.0,0.0,62.688,3.768,267480.04,97571.84
80,603833,3.808,143.4,136.66,143.4,134.03,138.14,482822.0,0.53942,67213442.0,44.673,9.552,6031353.29376,1283535.45636
81,603829,4.223,15.3,14.65,15.88,14.61,14.68,6649270.0,16.62318,101797851.0,36.429,3.968,244800.0,61200.0
82,603828,0.236,8.5,8.39,8.55,8.26,8.48,688224.0,0.21241000000000002,5786678.0,50.0,2.558,280692.84375,275400.0
83,603826,1.961,10.4,10.09,10.48,10.04,10.2,2355413.0,1.2432400000000001,24309137.0,29.083,3.239,486720.0,197035.87488
84,603825,0.0,35.36,0.0,0.0,0.0,35.36,0.0,0.0,0.0,38.022,4.559,581173.6008,141440.0
85,603823,2.619,14.5,14.13,14.6,13.56,14.13,1145795.0,1.62886,16425596.0,24.576,2.496,326250.0,101997.61535
86,603822,1.022,26.7,25.88,26.9,25.3,26.43,412200.0,1.01518,10806091.0,38.412,2.833,195853.84767,108411.34767
87,603819,1.854,16.48,15.8,16.69,15.8,16.18,1277977.0,2.27803,20944882.0,63.385,2.658,199111.36,92452.8
88,603818,2.734,12.4,12.31,12.47,12.06,12.07,3328800.0,0.6876,40889801.0,24.314,3.709,609435.2,600308.8
89,603817,0.609,8.26,8.16,8.3,7.96,8.21,2142463.0,1.19026,17388029.0,35.835,2.582,371700.0,148680.0
90,603816,4.169,69.97,67.28,71.0,67.0,67.17,1584269.0,1.77808,108705376.0,35.161,6.979,2995702.577,623432.7
91,603813,1.362,29.76,28.5,29.95,27.53,29.36,2744947.0,12.43746,79314486.0,41.333,4.562,262691.52,65680.32
92,603811,4.43,26.4,25.35,26.6,25.11,25.28,530491.0,0.9253300000000001,13683000.0,30.345,3.643,224928.0,151351.2
93,603809,3.078,19.76,19.15,19.93,19.01,19.17,1520026.0,4.07099,29564863.0,10.84,1.375,295091.888,73779.888
94,603808,1.71,22.6,22.27,22.89,21.79,22.22,2708607.0,0.8211600000000001,60337760.0,24.835,3.527,761626.7009,745467.7009
95,603806,5.041,22.92,21.88,22.95,21.81,21.82,1010523.0,0.19336,22507323.0,15.699,1.796,1197799.2,1197799.2
96,603803,1.625,13.76,13.53,13.86,13.36,13.54,2803795.0,1.27566,38090627.0,27.52,2.315,579372.446432,302433.175552
97,603801,0.642,50.13,49.78,51.0,48.8,49.81,404100.0,1.01025,20201735.0,29.964,4.6370000000000005,802080.0,200520.0
98,603800,3.131,15.48,15.07,15.65,14.85,15.01,7340801.0,10.85917,111988199.0,110.1,3.453,321984.0,104644.8
99,603799,3.816,91.68,86.9,91.91,86.06,88.31,13170986.0,2.24903,1181324811.0,28.65,8.047,5433659.362176,5369050.550064
100,603798,1.643,13.61,13.14,13.68,13.14,13.39,2631907.0,3.08186,35562958.0,22.683,3.049,272200.0,116229.4
101,603797,2.905,14.88,14.46,14.9,14.43,14.46,831996.0,1.5598,12160951.0,45.091,3.054,317449.92,79369.92
102,603789,0.083,12.06,12.04,12.25,12.03,12.05,595600.0,0.22908,7181955.0,124.845,2.955,313560.0,313560.0
103,603788,1.817,24.09,23.57,24.2,23.57,23.66,656020.0,0.33387,15683883.0,15.151,2.053,554296.925391,473347.7826
104,603787,-9.971,12.28,12.28,12.28,12.28,13.64,346000.0,0.48808,4248880.0,31.487,2.799,250512.0,87052.92
105,603779,-0.966,15.38,15.1,15.48,14.2,15.53,2880600.0,3.11061,43142997.0,49.613,2.52,353196.65536,142427.6435
106,603778,1.224,4.96,4.92,4.99,4.85,4.9,1805500.0,0.79817,8900554.0,27.556,2.427,248000.0,112197.230128
107,603777,8.178,18.52,16.97,18.8,16.97,17.12,15323464.0,14.03248,275304678.0,44.095,2.309,631915.40104,202238.4
108,603776,2.216,40.59,38.79,41.15,38.3,39.71,3594664.0,10.6984,142980110.0,6.283,2.336,545529.6,136382.4
109,603773,5.827,66.11,62.42,66.88,62.41,62.47,2436246.0,10.30174,157511867.0,22.563,5.945,625371.220716,156342.805179
110,603768,1.938,14.2,13.94,14.31,13.76,13.93,566544.0,0.80791,7932074.0,21.194,1.704,289680.0,99577.5
111,603767,2.278,8.53,8.15,8.57,8.15,8.34,2400560.0,2.53389,20106539.0,20.31,1.2650000000000001,254746.744,80811.514
112,603766,0.198,5.07,5.05,5.1,4.86,5.06,12470027.0,0.5956,61953809.0,11.022,1.568,1071330.21645,1061501.66655
113,603758,-0.818,8.49,8.55,8.55,8.22,8.56,1946500.0,1.4580600000000001,16303091.0,18.867,1.514,372538.694601,113340.54912
114,603757,-1.129,28.89,29.2,29.64,27.84,29.22,673181.0,2.28973,19247253.0,11.51,2.599,338937.48,84936.6
115,603738,3.125,16.5,16.09,16.6,15.8,16.0,519952.0,0.8852000000000001,8451295.0,28.947,3.111,261852.36,96918.36
116,603737,1.664,53.14,52.5,53.44,51.51,52.27,412750.0,0.97272,21685304.0,30.193,4.845,705888.16584,225486.17215
117,603733,3.165,25.1,24.0,25.35,23.7,24.33,6044634.0,9.74941,147901054.0,34.384,5.65,1536120.0,155620.0
118,603730,2.052,26.85,26.22,27.18,26.18,26.31,835444.0,1.74051,22200523.0,17.549,3.352,1101830.025,128880.0
119,603729,-0.965,40.02,40.4,40.45,39.3,40.41,1010954.0,1.5163600000000002,40389940.0,64.548,3.086,266813.34,266813.34
120,603728,1.051,16.34,16.11,16.45,16.0,16.17,822818.0,0.46815,13345933.0,28.221,3.06,679744.0,287191.84
121,603727,1.689,14.45,14.01,14.59,14.0,14.21,789600.0,0.8323,11250163.0,30.745,1.416,338339.525,137087.15
122,603726,1.46,18.07,17.77,18.07,17.14,17.81,601768.0,1.81518,10633565.0,15.058,2.017,239622.656,59905.664
123,603725,1.048,17.36,16.89,17.6,16.53,17.18,1630650.0,4.44561,27962857.0,38.578,3.185,254636.48,63676.48
124,603722,5.634,49.5,50.01,51.55,46.98,46.86,10616347.0,48.92326,524133215.0,67.808,8.117,429165.0,107415.0
125,603721,2.711,23.49,22.38,23.76,22.32,22.87,1671507.0,6.68603,38521139.0,30.908,4.284,234900.0,58725.0
126,603718,5.697,14.1,13.59,14.25,13.16,13.34,5481308.0,0.85113,75727182.0,78.333,8.329,908040.0,908040.0
127,603717,0.832,10.91,10.71,10.99,10.41,10.82,2240966.0,1.83566,23935638.0,14.56,1.463,263799.69784,133188.66904
128,603716,1.069,19.85,19.55,20.29,19.01,19.64,1598645.0,1.66341,31290526.0,15.038,1.495,407210.262365,190771.41838
129,603712,3.018,25.6,23.58,25.92,23.58,24.85,10591784.0,10.59178,265220238.0,88.276,9.622,1976320.0,256000.0
130,603711,5.326,21.95,20.31,22.3,20.3,20.84,3588917.0,8.97005,76605087.0,29.662,4.489,878021.95,87821.95
131,603709,1.842,28.2,27.55,28.5,25.01,27.69,1403595.0,7.01798,39063027.0,20.435,4.271,225600.0,56400.0
132,603708,2.86,21.58,20.73,21.67,20.73,20.98,1817431.0,1.15781,38449711.0,32.697,3.776,1009944.0,338743.200042
133,603707,3.813,26.14,25.07,26.48,24.65,25.18,2469092.0,2.9910300000000003,63077051.0,32.149,5.248,1444041.3026,215785.7
134,603703,-5.304,8.57,9.0,9.2,8.16,9.05,3591900.0,3.29683,31209684.0,77.909,3.726,196852.9,93370.15
135,603701,4.582,13.01,12.45,13.16,12.24,12.44,969072.0,1.37903,12361981.0,19.132,2.537,190093.2732,91423.872
136,603699,-6.739,17.3,16.7,17.98,16.7,18.55,4067378.0,0.54232,68589521.0,61.786,5.001,1297500.0,1297500.0
137,603698,2.296,14.7,14.37,14.73,14.37,14.37,428500.0,0.10393000000000001,6231633.0,31.277,2.3890000000000002,606081.0,606081.0
