,code,mbrg2018_1,nprg2018_1,nav2018_1,targ2018_1,epsg2018_1,seg2018_1,mbrg2017_2,nprg2017_2,nav2017_2,targ2017_2,epsg2017_2,seg2017_2,mbrg2017_3,nprg2017_3,nav2017_3,targ2017_3,epsg2017_3,seg2017_3,mbrg2017_4,nprg2017_4,nav2017_4,targ2017_4,epsg2017_4,seg2017_4,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603399,77.9235,82016.2612,17.4709,24.079,2500.0,15.5965,53.8452,,7.433,43.2186,-233.3333,6.6548,54.8777,,11.8806,36.9264,-250.0,9.1306,60.1043,857.0225,13.7721,46.803000000000004,600.0,12.0255,-9.971,15.35,15.35,15.35,15.35,17.05,2036100.0,0.40077,31254135.0,36.548,3.863,839262.246215,779857.746215
2,600083,3111.4297,51381.4112,1.4368,68.8194,-1395.0,28.7323,-23.0286,-112.7913,-18.7731,-16.8635,-150.0,-1.8443,-25.6047,-95.7953,-21.2983,-18.7906,-109.5238,-4.223,-4.0531,37.1619,-7.0526,-18.5332,181.5385,16.7661,0.529,18.99,18.7,19.0,18.51,18.89,814969.0,0.35745000000000005,15327956.0,518.852,62.201,436770.0,432959.326074
3,002305,-21.5072,35252.0618,0.5987,7.2037,93.1034,-0.5445,-44.8361,-98.4979,-1.7002,14.4545,90.9091,-0.2135,-11.0232,-63.941,-1.369,23.5935,5.7971,-0.9251,9.2116,88.6484,-0.2272,10.8239,22.1402,-0.6454,-2.188,3.13,3.15,3.17,2.9,3.2,11658008.0,0.7184600000000001,35538881.0,94.562,1.2,542809.53601,507884.585041
4,600256,196.0477,18651.0888,13.6413,5.4311,1650.0,8.3149,43.6574,47.7661,-0.1201,1.6105,61.5385,0.8424,62.0524,58.8587,-0.1511,7.2766,50.7937,0.5906,94.0101,239.3088,10.0511,3.3995,218.5279,4.4359,3.014,3.76,3.63,3.77,3.61,3.65,29605433.0,0.43944000000000005,109672227.0,29.96,1.62,2533150.82952,2533150.82952
5,600784,-7.7323,10246.3998,-12.0373,-15.8046,6900.0,-6.0635,-50.6695,-81.9925,6.9998,-9.7256,-91.45299999999999,6.7262,-57.1164,-94.102,6.7166,5.8206,-90.2655,6.9161,-48.083999999999996,-1591.2362,-12.5001,-9.1898,-428.7671,-10.5261,0.0,5.46,0.0,0.0,0.0,5.46,0.0,0.0,0.0,-22.75,2.06,310225.103916,310225.103916
6,300272,18.4835,8692.7011,-1.3598,-41.1241,2490.9884,62.7517,17.4694,-14.4324,71.0776,34.2355,-7.1361,29.2383,9.9511,-11.2497,88.7835,42.9473,-14.4744,46.6481,10.0322,-87.8396,46.8656,0.8335,-44.8529,19.9015,1.763,10.97,10.78,11.08,10.7,10.78,4095645.0,1.8441100000000001,44634717.0,73.133,3.8890000000000002,436809.638304,243636.913958
7,600319,7.7469,5366.2027,451.9202,-15.364,,451.9202,44.9502,,,-16.7716,-110.6667,-106.7911,,,,,,,33.7814,199.5264,343.8755,-11.0557,0.0,343.8755,-2.266,6.47,5.96,6.6,5.96,6.62,2876601.0,0.91149,18343717.0,80.875,46.715,204189.318,204189.318
9,000912,8.6968,5212.7403,-1161.3469,-21.8709,4706.4516,-1157.3347,29.5058,,-85.8445,-10.2891,-77.5713,-85.9883,29.7159,,-99.6907,-6.1157,-68.75,-99.8903,,,,,,,,,,,,,,,,,,,
10,600136,264.9991,4908.7558,12.9393,55.288000000000004,22500.0,7.5445,36.4951,0.7428,10.7617,33.7608,5.5,6.3418,58.2617,-23.4686,11.6693,48.4773,-16.6667,6.0598,60.2577,1.1506,11.168,43.1907,4.0,5.6951,0.794,12.69,12.28,12.85,11.96,12.59,6790265.0,1.97214,84323265.0,48.808,2.41,618234.194034,436929.816384
11,002696,29.0337,4716.6726,106.3421,87.4884,-1258.0,116.6565,1.854,19.695999999999998,5.1352,-1.1318,5.3503,4.3374,7.0174,55.8151,105.24600000000001,89.6848,56.0976,115.0664,15.7409,86.0066,105.176,87.0586,81.7345,115.1537,-2.062,10.45,10.68,10.77,9.8,10.67,6445230.0,3.63695,66351298.0,17.078,1.097,413099.672095,185189.705305
12,002016,610.7286,4699.1042,60.2034,-9.1923,4076.6667,60.3135,-81.0999,-109.4735,-19.8299,18.2625,-108.4746,-19.6091,37.3212,326.1588,4.5025,0.5992,324.8258,4.9124,116.7023,938.8707,37.9935,-0.9521,875.2809,38.3091,1.372,14.78,14.58,14.9,14.24,14.58,12544004.0,1.94151,183949051.0,13.098,4.145,1195843.344096,954929.344096
13,600429,26.7149,4430.1895,17.4168,85.0065,2054.5455,2.32,34.3246,-76.4608,-15.7208,-4.0827,-77.4414,-17.1598,34.2687,-21.1737,-14.1391,-2.6841,-27.909000000000002,-15.7948,4.5663,-41.1233,1.8988,0.145,-27.5568,1.6679,2.545,6.85,6.36,6.98,6.1,6.68,13659620.0,1.54346,89054641.0,134.314,2.117,1025826.83681,606225.0
14,600131,44.2612,4352.594,13.8034,0.0087,1360.0,13.276,-34.1584,-65.2846,5.3433,-4.1345,-69.3878,5.2547,-34.0435,-61.3056,3.2498,-5.657,-63.8037,3.2478,-27.7163,-50.6326,10.4882,0.0043,-51.5152,10.0216,1.318,5.38,5.31,5.4,5.28,5.31,1099610.0,0.27667,5889020.0,33.625,2.284,271219.33339,213821.699414
15,002613,34.0839,3639.0964,4.7873,14.1567,3976.1905,1.2724,4.3246,-453.2523,1.6652,8.4249,-279.8701,-0.8725,17.0157,-211.5271,2.1149,13.1439,-198.5401,-1.4009,29.2699,-307.8256,-0.1498,8.4508,-289.2216,-3.9449,2.694,3.05,2.98,3.06,2.92,2.97,4036290.0,0.79066,12075374.0,-48.259,1.877,285836.85,155702.13888
16,000553,891.0288,3360.7336,883.7182,1202.3907,740.2427,883.7182,45.74,906.6392,3.4585,1.3999,906.7138,3.4585,1179.4568,7702.4082,731.2245,1112.5798,1879.7101,731.2245,1184.2588,,836.5322,1227.1512,-626.3955,836.5322,3.721,15.33,14.79,15.4,14.7,14.78,4491654.0,1.23432,67590481.0,23.224,1.847,3750566.641206,557854.629885
17,601360,477.3356,2927.0158,951.3231,773.8935,69.4915,971.5205,-10.827,-70.9776,1.719,-0.3187,-70.9877,1.8433,-11.5242,-65.7516,-0.9276,-3.8264,-66.0961,0.6367,-9.6277,-58.3276,-1.3815,-6.8498,-57.3807,0.3091,0.792,29.28,28.86,29.42,28.57,29.05,5157094.0,1.2984200000000001,149841215.0,170.729,10.936,19805153.528976,1162950.193104
18,000040,29.3425,2910.2018,14.5843,54.1599,2903.7037,14.4504,149.1375,88.1859,2.2259,10.9842,-33.5294,2.1024,117.0479,145.9893,3.9847,25.3852,42.3529,3.1932,115.4769,207.9405,5.4318,67.1887,115.7895,4.7618,-0.672,10.35,10.38,10.7,10.19,10.42,8810775.0,0.83781,91514288.0,25.244,1.101,1383974.33652,1088449.98129
19,300750,155.2034,2744.8548,,,-1221.6931,,,,,,,,,,,,,,34.3967,43.708999999999996,67.6337,73.7174,7.1947,59.4809,10.0,64.13,64.13,64.13,64.13,58.3,1286082.0,0.592,82476439.0,31.931,4.9879999999999995,13931838.481,1393184.059729
20,600781,897.6819,2733.9068,1002.8101,676.9278,823.5669,1176.5178,19.1918,-28.5025,0.6238,7.8354,-28.839000000000002,3.4222,11.8093,-34.4381,-0.0866,-2.0709999999999997,-34.9303,2.6472,1070.2094,3387.6289,976.6923,676.1664,840.0,1146.0054,2.909,15.92,15.47,16.0,15.37,15.47,1002700.0,0.5646100000000001,15710964.0,16.936,2.088,998434.759104,282727.839488
21,600516,408.4018,2699.4545,101.0469,96.9977,2374.5327,97.7873,69.2319,15607.1412,7.3135,2.9819999999999998,2654.0229999999997,7.4323,206.0356,3514.9770000000003,42.2918,39.3874,2441.4847,40.9779,248.6204,13132.3664,68.4229,73.1959,5175.0,66.255,0.706,24.25,23.99,24.48,23.47,24.08,38111663.0,2.21688,915012039.0,11.493,3.708,4337826.36665,4168963.91665
22,600740,49.2934,2540.0879,250.7768,71.8696,1311.7647,321.5768,,,,,,,75.7622,,5.0279,5.3249,-268.4864,6.4693,48.4589,103.8464,3.5394,3.8878,107.9723,4.5024,1.333,10.64,10.25,10.72,10.25,10.5,21696974.0,3.30327,227250977.0,88.667,1.76,1523827.3904,698870.054512
24,300080,194.1288,2458.2658,-20.4045,3.1846,393.3333,-32.2867,-51.6554,-6156.422,2.9239,17.7212,-12238.8889,-6.6908,-37.0314,-4622.021,0.9224,18.0556,-8823.1884,-9.3098,-23.9785,-3642.5059,-21.2698,7.1117,-5079.9511,-32.4847,0.0,0.0,0.0,0.0,0.0,5.83,0.0,0.0,0.0,-2.862,1.334,293134.744243,292676.182095
25,600515,-2.3194,2234.1325,-9.2575,-6.0837,2014.2857,-16.3038,597.3091,13946.0841,4936.5372,2152.5708,1191.4286,3900.1495,44.7352,170.7835,113.4209,13.1798,53.56,118.5052,12.2835,99.8336,-3.1434,-4.7955,-16.377,-6.9627,0.0,11.16,0.0,0.0,0.0,11.16,0.0,0.0,0.0,21.878,1.354,4360873.18536,1850657.628456
26,300107,176.0569,2233.2516,20.1523,23.5264,2211.1111,20.1523,21.3118,55.1188,1.641,4.8993,70.2128,1.641,46.8265,105.3781,2.6985,9.2493,105.2117,2.6985,61.8044,282.703,7.9737,14.8942,279.2857,7.9737,4.031,13.42,12.7,13.57,12.7,12.9,23169530.0,7.01586,305125609.0,84.244,6.675,733709.676524,443188.73632
27,002535,85.7703,2218.4742,1.4335,13.4967,2164.2857,-0.2054,12.2908,128.5134,0.8801,7.6618,200.0,0.8864,14.1392,152.9182,1.3968,12.5351,100.0,1.1363,28.6625,149.513,-0.7373,16.4309,100.0,-1.0303,2.825,3.64,3.53,3.65,3.51,3.54,3497120.0,0.6519100000000001,12510411.0,91.0,0.99,291812.638936,195265.88354
28,002798,935.552,2178.1373,388.8867,580.7468,1750.0,388.8706,16.9823,38.484,0.9525,6.7321,12.0,0.9525,30.0096,23.5475,19.9033,24.7544,6.3731,19.9033,24.8469,7.691,79.3826,91.5481,-3.0769,79.3826,1.743,31.52,30.38,31.86,30.35,30.98,748545.0,1.37171,23481291.0,50.032,1.463,714623.807152,172005.818848
29,300052,7.0255,2166.8367,-18.4163,4.4192,500.0,-19.6898,40.184,102.9957,-34.8128,-0.2437,150.0,-35.2193,16.7277,107.0046,-28.212,-6.9107,133.3333,-28.4075,-2.5284,,-19.7327,3.1710000000000003,-200.0,-20.8476,1.315,10.79,10.38,10.87,10.25,10.65,2864451.0,1.10085,30266803.0,56.789,3.667,281660.6494,280760.824903
30,600216,61.6805,2149.8551,17.6506,19.0047,1533.3333,10.7458,-5.9521,-53.6673,4.2446,5.7888,-55.2381,4.4478,-1.38,-68.1323,9.4769,11.9887,-67.4419,1.0374,7.8303,-46.0908,11.261,11.1082,-43.75,4.4569,2.638,12.06,11.76,12.18,11.75,11.75,13469495.0,1.42293,161852202.0,44.667,1.496,1164523.248,1141599.26835
