,x,y,yd1,yvals
0,631209600,1.101508,1.0822833651115787e-07,-3.416067948554769
1,631296000,1.108901,1.081377457790993e-07,-3.4067209340228146
2,631382400,1.1125969999999998,1.0804718601233717e-07,-3.3973817451923765
3,631468800,1.116293,1.0795665721087125e-07,-3.3880503793880052
4,631728000,1.123686,1.0768525659825082e-07,-3.360103193377995
5,631814400,1.1125969999999998,1.0759485165796979e-07,-3.350803092924309
6,631900800,1.064545,1.0750447768298518e-07,-3.3415108021197284
7,631987200,1.020189,1.0741413467329637e-07,-3.3322263182888605
8,632073600,1.020189,1.07323822628904e-07,-3.32294963875637
9,632332800,1.0127959999999998,1.0705307228750397e-07,-3.295166399194841
10,632419200,1.031278,1.0696288410429668e-07,-3.2859209101017655
11,632505600,0.983225,1.068727268863854e-07,-3.2766832119298783
12,632592000,0.957351,1.0678260063377013e-07,-3.2674533020039576
13,632678400,1.0127959999999998,1.0669250534645108e-07,-3.258231177648497
14,632937600,0.983225,1.0642240527627188e-07,-3.2306114912515227
15,633024000,0.998011,1.063324338501377e-07,-3.2214204824242074
16,633110400,1.005403,1.0624249338929996e-07,-3.2122372457903907
17,633196800,1.0091,1.0615258389375844e-07,-3.2030617786746802
18,633283200,0.96844,1.0606270536351293e-07,-3.1938940784016836
19,633542400,0.983225,1.0579325556455413e-07,-3.1664375518850534
20,633628800,1.005403,1.0570350089549328e-07,-3.1573008922290455
21,633715200,1.005403,1.0561377719172887e-07,-3.1481719860385624
22,633801600,0.994315,1.0552408445326088e-07,-3.139050830638439
23,633888000,1.0127959999999998,1.0543442268008912e-07,-3.129937423353283
24,634147200,1.034974,1.0516562315235051e-07,-3.102643663433014
25,634233600,1.027581,1.0507608524036362e-07,-3.0935612218533493
26,634320000,0.983225,1.0498657829367275e-07,-3.0844865150116902
27,634406400,0.975833,1.0489710231227788e-07,-3.075419540232417
28,634492800,1.0127959999999998,1.0480765729617965e-07,-3.066360294840308
29,634752000,1.005403,1.0453950803966165e-07,-3.039228908232417
30,634838400,1.020189,1.044501868847481e-07,-3.030200553634643
31,634924800,1.0127959999999998,1.0436089669513097e-07,-3.021179915047014
32,635011200,1.0127959999999998,1.0427163747080963e-07,-3.0121669897939114
33,635097600,1.001228,1.0418240921178473e-07,-3.003161775200226
34,635443200,0.993811,1.0382580582864712e-07,-2.9672179699100525
35,635529600,1.008644,1.0373673239610353e-07,-2.958251268481604
36,635616000,0.978978,1.0364768992885595e-07,-2.949292261660162
37,635702400,0.986394,1.0355867842690437e-07,-2.9403409467701636
38,635961600,1.008644,1.032918297128276e-07,-2.913533126934908
39,636048000,0.993811,1.0320294207206091e-07,-2.9046125530167046
40,636134400,1.008644,1.0311408539659043e-07,-2.89569965765304
41,636220800,1.016061,1.030252596864166e-07,-2.8867944381684083
42,636307200,1.001228,1.0293646494153877e-07,-2.87789689188736
43,636566400,1.023477,1.026702664986822e-07,-2.8512502655124194
44,636652800,1.045726,1.0258159561498925e-07,-2.8423833852920666
45,636739200,1.049435,1.0249295569659231e-07,-2.8335241648983356
46,636825600,1.090226,1.0240434674349159e-07,-2.824672601655891
47,636912000,1.093934,1.023157687556873e-07,-2.8158286928892835
