,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
482,601798,*ST蓝科,-5.1,4.28,4.45,4.45,4.28,4.51,1633999.0,0.46089,7055686.0,-17.398,0.882,151738.068744,151738.068744
516,601558,ST锐电,-5.217,1.09,1.13,1.13,1.09,1.15,44774200.0,0.7845200000000001,49230970.0,54.5,5.377,657335.4,622084.799891
658,600896,*ST海投,0.0,5.12,0.0,0.0,0.0,5.12,0.0,0.0,0.0,-6.4,2.67,444978.7264,295489.675776
676,600877,ST嘉陵,-5.051,4.7,4.81,4.92,4.7,4.95,4249775.0,0.6183500000000001,20270108.0,10.711,-28.923000000000002,323022.5588,323022.5588
682,600871,*ST油服,-4.926,1.93,2.01,2.02,1.93,2.03,18647701.0,0.15485000000000002,36612985.0,-2.58,6.472,3663977.626369,2324233.572035
683,600870,*ST厦华,-4.963,3.83,4.03,4.03,3.83,4.03,2702500.0,0.51653,10426179.0,-162.979,2735.714,200385.471695,200385.471695
731,600817,ST宏盛,-5.013,7.2,7.24,7.47,7.2,7.58,331800.0,0.21313000000000001,2413942.0,-720.0,11.944,115855.25904,112088.93328
740,600807,*ST天业,-4.87,2.93,2.93,3.08,2.93,3.08,54216995.0,6.88891,159437987.0,-11.269,1.6400000000000001,259197.976183,230596.409952
766,600778,*ST友好,-5.081,4.67,4.89,4.9,4.67,4.92,2714400.0,0.87255,12870078.0,-2.9939999999999998,1.9340000000000002,145466.461384,145277.494504
776,600767,ST运盛,-4.927,5.21,5.4,5.4,5.21,5.48,1405700.0,0.41234000000000004,7396046.0,41.024,6.83,177666.304822,177614.204822
792,600749,*ST藏旅,5.029,10.86,10.85,10.86,10.6,10.34,2314068.0,1.22348,25083813.0,-25.944,2.448,246484.551462,205403.793066
794,600747,ST大控,-4.938,1.54,1.58,1.58,1.54,1.62,8415900.0,0.7907200000000001,13013225.0,73.333,1.137,225506.573446,163906.573446
808,600733,SST前锋,0.0,52.69,0.0,0.0,0.0,52.69,0.0,0.0,0.0,1351.026,54.709,1041080.634,398336.4
809,600732,ST新梅,-4.909,5.23,5.3,5.67,5.23,5.5,2680600.0,0.60052,14214215.0,38.287,5.209,233458.35084,233458.35084
816,600725,ST云维,-4.878,2.34,2.41,2.42,2.34,2.46,3375858.0,0.27391000000000004,8002174.0,354.545,10.299,288397.98,288397.98
839,600701,*ST工新,0.0,9.22,0.0,0.0,0.0,9.22,0.0,0.0,0.0,53.326,2.262,954025.870996,715360.007426
843,600696,ST岩石,-5.097,3.91,4.12,4.12,3.91,4.12,1457000.0,0.42782000000000003,5778940.0,78.2,4.697,133161.13005,133161.13005
859,600680,*ST上普,0.0,7.69,0.0,0.0,0.0,7.69,0.0,0.0,0.0,-8.395,8.514,293931.284153,197960.084153
880,600654,ST中安,-5.147,2.58,2.62,2.68,2.58,2.72,8235600.0,1.09075,21429762.0,-4.526,1.576,331019.415936,194801.133732
899,600634,*ST富控,-5.102,2.79,2.83,2.83,2.79,2.94,6551600.0,1.13796,18308346.0,34.875,0.795,160629.250599,160629.250599
921,600608,ST沪科,-4.965,5.36,5.62,5.62,5.36,5.64,439454.0,0.13803,2369002.0,28.211,30.541,176269.732376,170647.092376
969,600556,ST慧球,-5.069,4.12,4.2,4.29,4.12,4.34,1315100.0,0.33311,5473916.0,412.0,21.799,162655.007696,162655.007696
981,600539,*ST狮头,-4.993,6.85,7.08,7.17,6.85,7.21,3599100.0,1.5648300000000002,24746329.0,-31.136,3.738,157550.0,157550.0
1067,600423,*ST柳化,0.0,4.83,0.0,0.0,0.0,4.83,0.0,0.0,0.0,32.2,39.205,192884.848779,192884.848779
1069,600421,ST仰帆,-5.074,5.8,6.05,6.19,5.8,6.11,602900.0,0.30823,3518395.0,-145.0,255.507,113448.0,113448.0
1077,600408,*ST安泰,-4.878,1.56,1.6,1.63,1.56,1.64,8221700.0,0.81662,13030880.0,-5.571,2.168,157060.8,157060.8
1081,600401,*ST海润,0.0,0.87,0.0,0.0,0.0,0.87,0.0,0.0,0.0,-1.673,4.157,411069.358224,411069.358224
1085,600397,*ST安煤,-4.839,1.77,1.82,1.83,1.77,1.86,5654100.0,0.5711400000000001,10130023.0,-2.539,2.165,175222.899114,175222.899114
1149,600321,*ST正源,-4.762,1.6,1.63,1.65,1.6,1.68,5455100.0,0.36113,8801770.0,-533.333,0.908,241688.0,241688.0
1167,600301,ST南化,-5.027,5.29,5.56,5.59,5.29,5.57,734700.0,0.31244000000000005,3951710.0,-38.306,5.223,124393.36606,124393.36606
1177,600289,*ST信通,-4.851,2.55,2.62,2.64,2.55,2.68,3735869.0,0.6601400000000001,9602184.0,-0.649,2.716,160918.277595,144310.28442
1190,600275,ST昌鱼,-5.09,3.17,3.29,3.29,3.17,3.34,1549501.0,0.30452,4951160.0,391.358,11.811,161301.404446,161301.404446
1199,600265,ST景谷,-5.0,21.47,22.3,22.38,21.47,22.6,119500.0,0.09206,2591586.0,-89.458,124.536,278680.6,278680.6
1213,600247,*ST成城,-4.973,5.35,5.55,5.55,5.35,5.63,1030800.0,0.30638000000000004,5529538.0,-25.38,58.089,179996.256,179996.256
1220,600238,*ST椰岛,-5.063,6.0,6.0,6.0,6.0,6.32,90200.0,0.020270000000000003,541200.0,-25.0,4.0,268920.0,267000.948
1224,600234,ST山水,-4.969,7.65,7.8,7.89,7.65,8.05,717100.0,0.35422000000000003,5494783.0,-58.846,21.411,154871.0982,154871.0982
1230,600228,ST昌九,-4.953,8.06,8.43,8.57,8.06,8.48,1586001.0,0.65722,13057568.0,74.423,36.703,194503.92,194503.92
1247,600209,*ST罗顿,-0.926,5.35,5.46,5.66,5.2,5.4,11846103.0,2.69836,65146727.0,-51.492,3.849,234870.975415,234870.975415
1252,600202,*ST哈空,-5.105,3.16,3.3,3.3,3.16,3.33,4499208.0,1.17368,14345465.0,-13.841,2.088,121135.652352,121135.652352
