li_0grow_tmp,li_123_tmp,li_1grow_tmp,li_1up_tmp,li_2grow_tmp,li_2up_tmp,li_3grow_tmp,li_3up_tmp,li_4grow_tmp,li_4up_tmp,li_5grow_tmp,li_5up_tmp
0.005545287,0.00122549,-0.003673095,0.000919118,0.012149533,-0.013824885,0.029865125,-0.041551247,0.017647059,-0.045837231,0.026262626,-0.046242775
0.026737968,-0.004340278,-0.043814433,0.010416667,0.066666667,-0.029649596,0.096875,-0.166666667,0.063333333,-0.145299145,0.024561404,-0.106583072
0.062271062,-0.050574713,-0.003731343,-0.075862069,0.028571429,-0.082397004,0.004081633,-0.027777778,0.012396694,-0.016260163,0,-0.020408163
0.010752688,-0.037943262,-0.008438819,0.008510638,0.065168539,-0.053191489,0,-0.071729958,0.011627907,-0.022727273,0.037037037,-0.068965517
0.065168539,-0.010196906,0,-0.071729958,0.011627907,-0.022727273,0.037037037,-0.068965517,0.039290241,-0.060714286,0.04308094,-0.065853659
0.026634383,-0.006289308,-0.003309693,-0.002358491,0.029925187,-0.04886148,0.100529101,-0.084745763,0.075,-0.134615385,0.076219512,-0.15245478
0.022160665,0.003613369,-0.023551204,0.024119241,0.011235955,-0.035230352,0.002816901,-0.013888889,0.009428571,-0.016853933,0.001414427,0.000566091
0.064735945,-0.0848,0,-0.056,0.038732394,-0.037288136,0.045346931,-0.069322034,0.00733945,-0.050522648,0.035781544,-0.032786885
0.058394161,-0.063218391,-0.003636364,-0.051724138,0.011029412,-0.00729927,0.014705882,-0.010909091,0.042145594,-0.054347826,0.015267176,-0.036764706
0.011428571,-0.007532957,-0.10989011,0.028248588,0.0875,-0.012345679,0,-0.08045977,0.00625,0,0.00625,-0.00621118
0.02259887,-0.123388582,-0.038251366,0.011049724,0.063583815,-0.017045455,0.023391813,-0.070652174,0.012269939,-0.068571429,0,0.036363636
0.049751244,-0.049763033,-0.0025,-0.052132701,0.233974359,-0.218045113,0.097902098,-0.257142857,0.11023622,-0.191082803,0.044897959,-0.131205674
0.027006752,-0.084246409,-0.00075358,-0.030679328,0.002277904,-0.00678733,0.012345679,-0.018181818,0.009375,-0.024390244,0.050288541,-0.061145511
0.043402778,0.047975596,-0.055155875,0.040765391,0.034873583,-0.029610829,0.007079646,-0.048020219,0.02166065,-0.026362039,0.03364486,-0.054770318
0.046820928,-0.024664144,-0.011594261,-0.047487629,0.067278349,-0.041055662,0.015,-0.083094608,0.171014493,-0.150246305,0.046788991,-0.32549505
0.014749263,0.069767442,-0.002932551,-0.00872093,0.039755352,-0.038235294,0.012383901,-0.05,0.018575851,-0.012232416,0.035031847,-0.045592705
0,-0.007978723,-0.008498584,-0.061170213,0,0.008571429,0.005714286,-0.008498584,0.020588235,-0.034090909,0.011940299,-0.034582133
0.125570776,0.064908722,-0.021126761,-0.135902637,0.052896725,-0.047961631,0.007594937,-0.055023923,0.01285347,-0.022613065,0.018421053,-0.035532995
0.011396011,-0.035680751,-0.014044944,0.002816901,0.011560694,-0.014245014,0.051671733,-0.06,0.018461538,-0.060693642,0.008955224,0.012084592
0.028125063,-0.116919993,-0.015384615,-0.012158115,0,0,0.005031447,-0.00625,0.069127517,-0.067584481,0.041811847,-0.09918393
0.020905923,-0.018202503,-0.006944444,-0.017064846,0.039568345,-0.027972028,0.007272727,-0.048442907,0.003636364,-0.007220217,0.03358209,-0.028985507
0.050955414,0.019191939,-0.027272788,0,0.061093248,-0.031152588,0.029801325,-0.084848485,0.038461538,-0.080385852,0.010526316,-0.04040404
0.005524862,0.096336996,-0.005524862,-0.005494505,0.040935673,-0.05,0.017751479,-0.050561798,0.030120482,-0.034883721,0,-0.029239766
0,-0.003703704,-0.011111111,0,0.005586592,0.005617978,0.041176471,-0.055555556,0.011976048,-0.056497175,0.050632911,-0.065088757
0.045454545,-0.041407867,-0.006493506,-0.043478261,0.069444444,-0.058823529,0.014084507,-0.077922078,0.014084507,-0.013888889,0,-0.006944444
0.025506179,0.023504274,-0.012820513,0,0.047297297,-0.038961039,0.121212121,-0.148387097,0,-0.108108108,0.06557377,-0.075757576
0.008264463,-0.06010929,0,0,0.046389955,-0.06,0.018181818,-0.083333333,0.018518519,-0.035714286,0,-0.054545455
0,0.00456621,0,0.01369863,0.006849315,-0.013513514,0,-0.020408163,0.014084507,-0.013888889,0.059701493,-0.069444444
0.006849315,-0.002267574,0,-0.020408163,0.014084507,-0.013888889,0.059701493,-0.069444444,0,-0.056338028,0.012507445,0.00238806
0.007575758,0.052631579,0,-0.007518797,0.03030303,0,0.030769231,-0.044117647,0.06557377,-0.089552239,0.016393443,-0.061538462
0,0.068627451,-0.028571429,0.029411765,0.09375,-0.058823529,0,-0.1,0.06779661,-0.063492063,0.092592593,-0.142857143
0.09375,-0.00952381,0,-0.1,0.06779661,-0.063492063,0.092592593,-0.142857143,0.038461538,-0.118644068,0.018181818,0.018518519
0.030674847,-0.024943311,-0.015424165,-0.007653061,0.035242291,-0.012184508,0.038843722,-0.05787234,0.191983122,-0.175652174,0.115976331,-0.252212389
0,0.641325536,-0.039325843,0.040935673,0.053254438,-0.011695906,0.024539877,-0.084269663,0.006289308,-0.047904192,0,0
0.074324324,0.491614256,-0.125,-0.34591195,0.127659574,-0.225274725,0.120967742,-0.220125786,0.024793388,-0.129496403,0.026086957,-0.072580645
0,0.063157895,-0.045,0.052631579,0.078212291,-0.062827225,0.011560694,-0.103626943,0.001197605,-0.045714286,0.012195122,-0.019138756
0.134285714,-0.022670025,-0.020408163,-0.136020151,0.079310345,-0.136904762,0.043956044,-0.127795527,0.011320755,-0.070175439,0.023622047,-0.052238806
0.02435671,0.038202902,-0.020743035,-0.012836247,0.066333333,-0.051533324,0.04172662,-0.130978462,0.030460624,-0.070441957,0.079171786,-0.112112509
0.119487179,0.063139403,-0.025131942,-0.088639464,0.037619144,0.000515597,0.058544333,-0.058356146,0.013294336,-0.063029349,0.045557181,-0.047336682
0.104761952,0.001149397,-0.004298042,-0.097413789,0.057257609,-0.045083933,0.003519357,-0.055106891,0.009571839,-0.005510972,0.144488921,-0.126247549
0.034082669,0.045815802,-0.001457726,-0.037868163,0.061574435,-0.06350365,0.00078125,-0.06020558,0.013492063,-0.016393443,0,-0.003132341
0.075471698,0.311111111,-0.081818182,-0.035087719,0.023076923,0.02970297,0.182464455,-0.206766917,0.004878049,-0.178356713,0,-0.029126214
0,-0.019466667,0,0,0,0,0,0,0.04,0,0,-0.038461538
0,-0.026666667,0,0,0,0,0.04,0,0,-0.038461538,0,0
0,-0.013333333,-0.04,0,0.041666667,0,0,-0.04,0.043478261,-0.041666667,0,0
0,-0.118461538,-0.015384615,0,0,0.015625,0.015384615,0,0.03125,-0.03030303,0.015384615,-0.015151515
0,-0.079501134,-0.126611252,0.129387755,0.151622419,-0.064827586,0,-0.194415984,0,0,0,-0.023847377
0.151622419,-0.08866974,0,-0.194415984,0,0,0,-0.023847377,0.000513963,-0.049348534,0,0.001712329
0,-0.009346847,0,0.007094595,0,-0.05904059,0,0,0,0,0,0
0,-0.011685117,0,-0.05904059,0,0,0,0,0,0,0,0
0,0.057754011,0,0,0,0,0,0,0,0,0,0
0,0.039334522,0,0,0,0,0,0,0,0,0,0
0,0.020915033,0,0,0,0,0,0,0,0,0,-0.001782531
0,0,0,0,0,0,0,0,0,-0.001782531,0,0
0,0,0,0,0,0,0,-0.001782531,0,0,0,0
0,0,0,0,0,-0.001782531,0,0,0,0,0,0
0,0,0,-0.001782531,0,0,0,0,0,0,0,-0.051785714
0.017911872,0.073068581,-0.029544318,0.004022122,0.026424872,-0.004127967,0.00629596,-0.037859669,0.025336982,-0.032846767,0.004340749,-0.031019979
0.020114943,0.066431925,-0.003607504,-0.023943662,0.027088036,-0.037653874,0.019083969,-0.04029304,0.044952681,-0.050187266,0.007165605,-0.052075472
0.014505495,0.04231658,-0.051020408,0.06152513,0.070063694,-0.054623656,0.006430868,-0.074404762,0.003683241,-0.008671885,0.01873194,-0.044954085
0.009725906,0.430239375,-0.137888199,-0.295096322,0.071038251,0.054755043,0.132921175,-0.174744898,0.024,-0.1473397,0.113105925,-0.1296875
0.025242718,0.09280303,-0.037878788,0,0.06,-0.015748031,0,-0.056603774,0,0,0.041666667,-0.04
0.019313305,-0.000701754,-0.025,0.010526316,0.081818182,-0.05982906,0.03271028,-0.100840336,0.021428571,-0.049773756,0.012019231,-0.03030303
0.081314879,-0.039466667,-0.003448276,-0.072,0.041516245,-0.041522491,0.001808318,-0.041594454,0.035984848,-0.046931408,0.037475345,-0.073126143
0.002178649,0.125362319,-0.047717842,0.047826087,0.043668122,-0.002178649,0.002207506,-0.052301255,0,-0.015418502,0.069544365,-0.067114094
0.010943912,-0.01037438,-0.005427408,-0.00270636,0.026499303,-0.021828104,0.007002801,-0.029891304,0.024566474,-0.037552156,0.02994012,-0.057827927
0.016393443,0.013685239,-0.005891016,-0.004398827,0.030257186,-0.020740741,0.010785824,-0.046989721,0.0140625,-0.024390244,0.011006289,-0.020030817
0.058467742,-0.080634921,-0.00984252,-0.032380952,0.135135135,-0.117296223,0.02027027,-0.119047619,0.048192771,-0.08388521,0.029268293,-0.057471264
0.000970874,-0.00822132,-0.008017612,0.002355522,0.020999232,-0.037764756,0.009809634,-0.031205631,0.016241931,-0.026968247,0.003288505,-0.019061511
0.005692354,0.001988634,-0.004743642,-0.000306027,0.004927625,-0.0015375,0.005112223,-0.010879543,0.029630835,-0.027281074,0.045782324,-0.082333053
0.020967763,0.024025823,-0.03235298,0.007109025,0.014346312,0.002836961,0.005087505,-0.021115577,0.037526226,-0.034217413,0.008417466,-0.03980606
0.017231524,0.023604593,-0.013176255,-0.009441822,0.017152716,-0.006250028,0.00919276,-0.021641398,0.00607109,-0.015371505,0.026851579,-0.026149426
0.003223759,0.020137071,-0.001291957,-0.005141452,0.038101571,-0.032341527,0.010155687,-0.048937477,0.031707316,-0.03820372,0.017093981,-0.051671765
