li_0grow_tmp,li_123_tmp,li_1grow_tmp,li_1up_tmp,li_2grow_tmp,li_2up_tmp,li_3grow_tmp,li_3up_tmp,li_4grow_tmp,li_4up_tmp,li_5grow_tmp,li_5up_tmp
-0.018158236,-0.026420079,0.001298701,0.017173052,-0.026751592,0.018158236,-0.003821656,0.027486911,-0.006297229,0.015345269,-0.001254705,0.010139417
-0.046327684,-0.038704581,0.005656109,0.047393365,-0.007865169,0.001124859,0,0.00792752,-0.042299349,0.035955056,-0.015053763,0.053227633
-0.011099899,-0.005782313,0.005060729,0.008163265,-0.008032129,0.003021148,-0.011976048,0.01417004,-0.0039801,0.015151515,-0.004975124,0.003996004
-0.015189873,-0.036418166,0.062585034,-0.055269923,-0.008782936,0.020486556,-0.011152416,0.021518987,-0.037214886,0.043859649,-0.032520325,0.073566085
-0.03,-0.021477663,0,0.030927835,-0.022277228,0.01,-0.01946472,0.040506329,-0.065592635,0.078163772,-0.04185022,0.118226601
-0.029821074,0.030737705,0.001988072,0.030737705,-0.042145594,0.035714286,-0.023663127,0.0734,-0.025225225,0.059160305,-0.003597122,0.027726433
-0.057142857,-0.015151515,0.003676471,0.03030303,0,0.025641026,-0.021505376,-0.003571429,-0.010752688,0.021978022,-0.063157895,0.032608696
-0.096774194,-0.493452381,0.156351792,0.096428571,0,-0.112676056,-0.068807339,0.038095238,-0.031818182,0.083743842,-0.029411765,0.064162754
-0.045454545,-0.067460317,0.029069767,0.023809524,-0.022826087,0.039548023,-0.1,0.112347052,-0.025423729,0.311111111,-0.025423729,0.026086957
-0.024793388,-0.008474576,0.025423729,0,-0.040322581,0.024793388,-0.032258065,0.042016807,-0.0234375,0.066666667,-0.059259259,0.08
-0.000666667,-0.072715143,0.006849315,-0.026017345,-0.064102564,0.06122449,-0.018518519,0.109589041,-0.034090909,0.106918239,-0.038043478,0.082352941
-0.060402685,-0.042857143,0.02027027,0.057142857,-0.032894737,0.006622517,-0.04375,0.088435374,-0.024390244,0.071895425,-0.064327485,0.06875
-0.052795031,-0.050273224,0.013333333,-0.016393443,-0.114285714,0.151315789,-0.028571429,0.129032258,-0.02617801,0.123529412,-0.028205128,0.048387097
