,li_0grow_tmp,li_123_tmp,li_1grow_tmp,li_1up_tmp,li_2grow_tmp,li_2up_tmp,li_3grow_tmp,li_3up_tmp,li_4grow_tmp,li_4up_tmp,li_5grow_tmp,li_5up_tmp
9,0.027972028,86.430839,-0.026666667,0.020408163,0.042553191,-0.034246575,0.007194245,-0.054421769,0.103174603,-0.1,0.016,-0.100719424
27,0.010344828,6.384527986,-0.020168066999999998,0.015358361999999999,0.040564374,-0.027444253999999998,0.0053191490000000004,-0.044067797,0.033271719,-0.045855379,0.0055452869999999994,-0.032200358
45,0.178991597,0.8866714179999999,-0.038385827000000004,-0.275837491,0.022222222000000003,0.013306038999999999,0.008163265,-0.031620552999999996,0.017561983,-0.020242915,0.015789473999999998,-0.035532995
52,0.074324324,0.491614256,-0.125,-0.34591195,0.127659574,-0.225274725,0.12096774199999999,-0.22012578600000002,0.024793388,-0.129496403,0.026086957,-0.072580645
54,0.004092072,0.443199258,-0.011639626,0.0066225680000000006,0.032258117999999995,-0.015873117,0.028479202999999998,-0.061995917000000005,0.00108449,-0.03657252,0.009392265,-0.019501572
55,0.009725906,0.430239375,-0.13788819900000002,-0.29509632199999997,0.071038251,0.054755042999999996,0.132921175,-0.174744898,0.024,-0.14733970000000002,0.113105925,-0.1296875
60,0.069651741,0.327131783,-0.019512195,-0.046511628,0.03030303,-0.014925373,0.08791208800000001,-0.10784313699999999,0.005524861999999999,-0.085858586,0.016666667,-0.010989011000000002
67,0.0015384620000000002,0.290322581,-0.039259259,0.036866359,0.055999999999999994,-0.036237471,0.049579832000000004,-0.09848484800000001,0.09270217,-0.18815052,0.010204082,-0.11552346599999999
69,0.024804178,0.282802548,-0.006410256,-0.0063694269999999996,0.014379085,-0.012903226,0.044474394,-0.043814433,0.005434783,-0.050322581,0.052556818,-0.048648649
70,0.005731463000000001,0.279943981,-0.030478925,0.033293371,0.454468085,-0.296407228,0.00767148,-0.351667642,0.008126411,-0.008060905,0.08779761900000001,-0.097178683
72,0.005950815,0.24914260300000002,-0.006209625,-0.005915612,0.02600225,-0.038792033,0.030606746,-0.025343268,0.027800943999999998,-0.054664863,0.019474993,-0.041655422000000004
73,0.040229885,0.244935543,-0.058823529000000006,0.033149171,0.088757396,-0.039772727,0.083333333,-0.086956522,0.050632910999999996,-0.131868132,0.075342466,-0.120481928
76,0.012195122,0.234834073,-0.061445783,0.052631579000000005,0.092096604,-0.01732991,0.12089552199999999,-0.198564545,0.047427653,-0.171770972,0.031173093,-0.06446661599999999
77,0.049535604000000004,0.23402163199999998,-0.018461538,-0.041297935,0.056478405,-0.056426332,0.0067567569999999995,-0.06918239,0.010238908,-0.016778523,0.046263345,-0.050675675999999996
78,0.027777778,0.232612613,-0.052910053,0.021621622000000004,0.005555556,0.005586592,0.028901734,-0.044198895,0.02994012,-0.061797753,0.024242424,-0.040697673999999996
80,0.180511182,0.21470455600000002,-0.130737135,-0.027063599,0.19249592199999999,-0.0192,0.006993007,-0.21751026,0.0035087720000000003,-0.010416667,0.019891501000000002,-0.033216783
86,0.026810913,0.196365857,-0.002347371,-0.024278562000000004,0.046029337000000003,-0.069647059,0.042999422999999995,-0.07785299799999999,0.020342559,-0.060834543,0.008528785,-0.015739718
87,0.00293261,0.195906413,-0.039436676000000004,0.038011696,0.047197578,-0.005864986,0.037151703,-0.090140845,0.003124937,-0.044776119,0.00952381,-0.018691528
88,0.011975956999999999,0.195266317,-0.062146917,0.047337368,0.050314560999999994,-0.042168734000000006,0.019230705,-0.06586828900000001,0.032679739,-0.037735819,0.039215653999999996,-0.03164557
92,0.125560538,0.18459495399999998,-0.020833333,-0.043824700999999994,0.09216589900000001,-0.076595745,0.037383177999999996,-0.097046414,0.077319588,-0.126126126,0.13690476199999999,-0.196172249
95,0.08607198699999999,0.181556196,-0.00311042,-0.07348703200000001,0.095726496,-0.087363495,0.133595285,-0.205928237,0.066528067,-0.16637781599999998,0.193627451,-0.204678363
96,0.032908652000000004,0.178657118,-0.034358974,0.00205555,0.154428846,-0.088688263,0.003614458,-0.16203933199999998,0.059936845,-0.048619447999999996,0.050511945,-0.12797613900000002
99,0.024418605,0.17328793,-0.008092486,-0.01816118,0.009334889,-0.001165501,0.010625738000000001,-0.020809249,0.01558753,-0.025700935,0.003597122,-0.015348288
100,0.013059701000000002,0.171884592,-0.06884681599999999,0.069981584,0.104761905,-0.029574861,0.019379845,-0.110344828,0.21627907,-0.18250950600000002,0.132432432,-0.292543021
103,0.0025,0.166528124,-0.017213115,0.014131338,0.017573222,-0.003336113,0.032843561,-0.048519737,0.006086957,-0.037656904,0.048357664,-0.052722557999999996
107,0.362707535,0.15651359,-0.0018587360000000002,-0.495782568,0.040697673999999996,-0.039106145,0.023952096000000003,-0.067039106,0.25,-0.220272904,0.04358974400000001,-0.22
109,0.026530612000000002,0.154406892,-0.00203666,-0.023856858999999998,0.018672199,-0.016326531000000002,0.043478261,-0.063136456,0.048611111,-0.1,0.051094890999999996,-0.092715232
111,0.041269841,0.153455285,-0.003205128,-0.048780488,0.036789298,-0.038585209,0.034722222000000004,-0.070967742,0.054347825999999995,-0.073825503,0.032846715,-0.058419244
112,0.004081633,0.149051491,-0.004098361,-0.008130080999999999,0.016736402,-0.016460905,0.030434782999999997,-0.053497942,0.004366812,-0.033755274,0.031531532,-0.034782609
117,0.046961326,0.142480211,-0.004172462,-0.051451187,0.046314818,-0.09231843599999999,0.066115702,-0.11029411800000001,0.06326889299999999,-0.117829457,0.070342205,-0.13057851199999998
118,0.002212445,0.14174016,-0.021650852,0.019591583,0.041466769,-0.019363789,0.014080518,-0.057421428,0.000577396,-0.018418872,0.012338366000000002,-0.017888027
119,0.007312645,0.14105661,-0.064487426,0.01784637,0.113689029,-0.041613723,0.021219231,-0.116368965,0.032190342999999996,-0.057387863,0.035979267,-0.086101729
120,0.035196687000000004,0.140666667,-0.035785288,0.006,0.10989011,-0.06185567,0.013274336000000001,-0.104950495,0.0044444440000000005,-0.017467249,0.12,-0.115044248
121,0.008810544,0.14022325900000002,-0.015965137,0.002911296,0.03293407,-0.014749261999999999,0.032659376000000004,-0.068115884,0.054098426,-0.081325329,0.004629537,0.007776049
123,0.046153846,0.138235294,-0.075842697,0.047058824000000006,0.111111111,-0.042553191,0.034883721,-0.14,0.022108844,-0.056179775,0.10701107,-0.09816971699999999
131,0.01031997,0.130234951,-0.0010298660000000002,-0.008171604,0.011714536000000001,-0.031958711,0.012319229,-0.017368421000000002,0.007053663000000001,-0.024867725,0.031372549,-0.038254259
