li_0grow_tmp,li_123_tmp,li_1grow_tmp,li_1up_tmp,li_2grow_tmp,li_2up_tmp,li_3grow_tmp,li_3up_tmp,li_4grow_tmp,li_4up_tmp,li_5grow_tmp,li_5up_tmp
0,1999,0,0,0,0,0,0,0,0,0,0
0,1399.333333,0,0,0,0,0,0,0,0,0,0
0,886.5,0,0,0,0,0,0,0,0,0,0
0,699.6666667,0,0,0,0,0,0,0,0,0,0
0,591,0,0,0,0,0,0,0,0,0,0
0,305.2222222,0,949,0,-0.998947368,0,0,0,0,0,0
0,295.5,0,0,0,0,0,0,0,0,0,0
0,161.5925926,0,0,0,0,0,0,0,0,0,0
0,106.7407407,0,0,0,0,0,0,0,0,0.004347826,5110.111111
0.027972028,86.430839,-0.026666667,0.020408163,0.042553191,-0.034246575,0.007194245,-0.054421769,0.103174603,-0.1,0.016,-0.100719424
0,55.61904762,-0.125,0.142857143,0,0,0,0,0,0,0,0
0,43.88095238,0,0,0,0,0,0,0,0,0,67.95238095
0,18.69578783,0,0,0,0,0,0,0,0,0,0
0,15.61805556,0,0,0,0,0,0,0,0,0.066666667,-0.0625
0,13.28571429,0,0,0,0,0,0,0,0,0,0
0,12.47685907,0,0,0,0,0,0,0,0,0.00078064,-0.000780031
0,12.08333333,0,0,0,0,0,0,0,0,0,0
0,11.19387255,0,0,0,-0.043382353,0,0,0,-0.00076864,0,0
0,8.920792079,-0.023178808,13.95049505,0,-0.933186441,0,0,0,0,0,0
0,8.857142857,0,0,0,0,0,0,0,0,0,0
0,8.542857143,0,0,0,0,0,0,0,0,0,0
0,7.826388889,0,0,0,0,0,0,0.066666667,-0.0625,0,0
0,7.495495495,0,0,0.029532031,-0.008558559,0.029532031,-0.028684907,0,-0.029126214,0,0
0,7.051801802,-0.013333333,0.013513514,0,0,0,0,0,-0.028716216,0,19.73582541
0,6.691358025,0,0,0,0,0,0,0,0,0,0
0,6.691358025,0,0,0,0,0,0,0,0,0,0
0,6.691358025,0,0,0,0,0,0,0,0,0,0
0.010344828,6.384527986,-0.020168067,0.015358362,0.040564374,-0.027444254,0.005319149,-0.044067797,0.033271719,-0.045855379,0.005545287,-0.032200358
0,6.290167866,0,0,0,0,0,-0.000799361,0,0,0,-0.04
0,6.282440714,0,0,0,-0.000799361,0,0,0,-0.04,0,0
0,6.274713562,0,-0.000799361,0,0,0,-0.04,0,0,0,0
0,6.231929277,0,0,0,0,0,0,0.00078064,-0.000780031,0,-0.000780031
0,5.879487179,0,0,0,0,0,0,0,0,0,0
0,5.876923077,0,-0.015384615,0,0.015625,0,0,0,0,0,0
0,5.595833333,0,-0.043382353,0,0,0,-0.00076864,0,0,0,0
0,5.592592593,0,-0.051111111,0,0.014832162,0,0,0,0,0,0
0,4.67224759,0,0,0,0,0,0,0.005612245,-0.005580923,0.030204962,-0.059360731
0,4.428571429,0,0,0,0,0,0,0,0,0,0
0.041666667,3.657777778,0,-0.04,0,0,0,0,0.028571429,-0.027777778,0,-0.055555556
0,2.541666667,0,0,0.03125,0,0.03125,-0.03030303,0.03125,-0.03030303,0.032258065,-0.060606061
0,2.523655871,0,0,0,0,0,0,0,0,0,0
0,1.949074074,0,0,0,0,0.028571429,-0.027777778,0,-0.055555556,0.014705882,0
0,1.655913978,0,0,0,0,0,0,0,0,0,0
0.012738854,1.628930818,-0.006329114,-0.006289308,0,0,0,0,0,0,0,0
0,1.302380952,-0.02173913,-0.014285714,0.042857143,0.037037037,0.051470588,-0.068493151,0.068181818,-0.076923077,0.052238806,-0.04964539
0.178991597,0.886671418,-0.038385827,-0.275837491,0.022222222,0.013306039,0.008163265,-0.031620553,0.017561983,-0.020242915,0.015789474,-0.035532995
0,0.818279548,0,0,0,0,0,0,0,0,0,0
0.00879397,0.690327937,-0.060818713,0.064757161,0.142857143,-0.128268991,0.042944785,-0.185,0.018897638,-0.066176471,0,-0.026275116
0,0.641325536,-0.039325843,0.040935673,0.053254438,-0.011695906,0.024539877,-0.084269663,0.006289308,-0.047904192,0,0
0.023809524,0.584496124,0,-0.023255814,0,0,0,0,0,0,0.023809524,0
0,0.578059072,0,0,0,0,0,0,0,0,0,0
0,0.5,0,0,0,0,0,0,0,0,0,0
0.074324324,0.491614256,-0.125,-0.34591195,0.127659574,-0.225274725,0.120967742,-0.220125786,0.024793388,-0.129496403,0.026086957,-0.072580645
0,0.470588235,0,0,0,0,0,0,0,0,0,0
0.004092072,0.443199258,-0.011639626,0.006622568,0.032258118,-0.015873117,0.028479203,-0.061995917,0.00108449,-0.03657252,0.009392265,-0.019501572
0.009725906,0.430239375,-0.137888199,-0.295096322,0.071038251,0.054755043,0.132921175,-0.174744898,0.024,-0.1473397,0.113105925,-0.1296875
0,0.379746835,0,0,0,0,0,0,0,0,0,0
0,0.375132286,-0.009036129,0.053968286,0.093474408,-0.138297896,0.00929368,-0.132258081,0.041745749,-0.029465894,0.041176431,-0.071038285
0.048780488,0.364341085,0,-0.069767442,0,0.025,0.051282051,-0.048780488,0.025641026,-0.048780488,0.054054054,-0.075
0.071428571,0.333333333,0,-0.066666667,0,-0.035714286,0,-0.037037037,0,0,0,0
0.069651741,0.327131783,-0.019512195,-0.046511628,0.03030303,-0.014925373,0.087912088,-0.107843137,0.005524862,-0.085858586,0.016666667,-0.010989011
0,0.31372549,0,0,0,0,0,0,0,0,0,0
0.075471698,0.311111111,-0.081818182,-0.035087719,0.023076923,0.02970297,0.182464455,-0.206766917,0.004878049,-0.178356713,0,-0.029126214
0,0.308641975,0,0,0,0,0,0,0,0,0,0
0,0.300561798,-0.005586592,0.005617978,0.00678733,-0.006741573,0.040189125,-0.049438202,0.033939394,-0.0625,0.009975062,-0.05978898
0.019390638,0.296195634,-0.010989065,-0.010869511,0.022408964,-0.008333333,0.040697614,-0.057534192,0,-0.05027933,0.008797772,0.002941118
0.00621118,0.29218107,-0.030120482,0.024691358,0.031055901,0,0.032258065,-0.06626506,0.109489051,-0.14375,0.014388489,-0.085526316
0.001538462,0.290322581,-0.039259259,0.036866359,0.056,-0.036237471,0.049579832,-0.098484848,0.09270217,-0.18815052,0.010204082,-0.115523466
0,0.285714286,0,-0.035714286,0,-0.037037037,0,0,0,0,0,0
0.024804178,0.282802548,-0.006410256,-0.006369427,0.014379085,-0.012903226,0.044474394,-0.043814433,0.005434783,-0.050322581,0.052556818,-0.048648649
0.005731463,0.279943981,-0.030478925,0.033293371,0.454468085,-0.296407228,0.00767148,-0.351667642,0.008126411,-0.008060905,0.087797619,-0.097178683
0.013917004,0.261708693,-0.006799295,-0.008984302,0.008905929,-0.003549696,0.006926629,-0.016897906,0,-0.012484127,0.014364037,-0.012125826
0.005950815,0.249142603,-0.006209625,-0.005915612,0.02600225,-0.038792033,0.030606746,-0.025343268,0.027800944,-0.054664863,0.019474993,-0.041655422
0.040229885,0.244935543,-0.058823529,0.033149171,0.088757396,-0.039772727,0.083333333,-0.086956522,0.050632911,-0.131868132,0.075342466,-0.120481928
0.006833713,0.241704374,-0.00456621,-0.009049774,0.023529412,-0.025229358,0.001180638,-0.026436782,0,-0.008254717,0.010714286,-0.001189061
0,0.240740741,-0.217391304,0.277777778,0,-0.055555556,0,-0.117647059,0,0,0,0
0.012195122,0.234834073,-0.061445783,0.052631579,0.092096604,-0.01732991,0.120895522,-0.198564545,0.047427653,-0.171770972,0.031173093,-0.064466616
0.049535604,0.234021632,-0.018461538,-0.041297935,0.056478405,-0.056426332,0.006756757,-0.06918239,0.010238908,-0.016778523,0.046263345,-0.050675676
0.027777778,0.232612613,-0.052910053,0.021621622,0.005555556,0.005586592,0.028901734,-0.044198895,0.02994012,-0.061797753,0.024242424,-0.040697674
0.104373757,0.225172517,-0.014634146,-0.077407741,0.080412371,-0.03960396,0.166051661,-0.224236641,0,-0.889240506,0,0
0.180511182,0.214704556,-0.130737135,-0.027063599,0.192495922,-0.0192,0.006993007,-0.21751026,0.003508772,-0.010416667,0.019891501,-0.033216783
0.0625,0.214117647,0,-0.058823529,0.005025126,-0.009975,0.039370079,-0.042713568,0.005277045,-0.042929293,0,-0.002624672
0,0.209876543,0,-0.037037037,0,0,0,0,0,0,0,0
0.060606061,0.20952381,-0.057142857,0,0.096774194,-0.060606061,0.033333333,-0.117647059,0.033333333,-0.032258065,0.032258065,0
0,0.2,0,0.4,0,-0.285714286,0,0,0,0,0,0
0.010759494,0.199471231,0,-0.010644959,0.00845666,-0.002109705,0.01827957,-0.025157233,0.035242291,-0.041182682,0.039351852,-0.080851064
0.026810913,0.196365857,-0.002347371,-0.024278562,0.046029337,-0.069647059,0.042999423,-0.077852998,0.020342559,-0.060834543,0.008528785,-0.015739718
0.00293261,0.195906413,-0.039436676,0.038011696,0.047197578,-0.005864986,0.037151703,-0.090140845,0.003124937,-0.044776119,0.00952381,-0.018691528
0.011975957,0.195266317,-0.062146917,0.047337368,0.050314561,-0.042168734,0.019230705,-0.065868289,0.032679739,-0.037735819,0.039215654,-0.03164557
0.013574661,0.194940476,0,-0.008928571,0.044007491,-0.037837838,0.029268293,-0.080717489,0.009756098,-0.028436019,0.025,-0.033816425
0,0.189873418,0,0,0,0,0,0,0,0,0,0
0.106609808,0.186897881,-0.014553015,-0.073217726,0.06345733,-0.035864979,0.030082042,-0.097119342,0,-0.03539823,0.009280742,-0.01146789
